ID,nb_visits,entry_nb_visits,exit_nb_visits
http://calenda.org/390330,112,99.0,101.0
http://calenda.org/391967,112,67.0,67.0
http://calenda.org/394666,112,47.0,46.0
http://calenda.org/396250,112,52.0,68.0
http://calenda.org/399701,112,69.0,67.0
http://calenda.org/286782,111,110.0,108.0
http://calenda.org/392804,111,36.0,46.0
http://calenda.org/396903,111,79.0,80.0
http://calenda.org/401007,111,49.0,56.0
http://calenda.org/395057,110,43.0,44.0
http://calenda.org/398863,110,78.0,74.0
http://calenda.org/399412,110,71.0,74.0
http://calenda.org/383755,109,85.0,89.0
http://calenda.org/391180,109,52.0,62.0
http://calenda.org/391219,109,72.0,83.0
http://calenda.org/398770,109,26.0,39.0
http://calenda.org/278300,108,101.0,96.0
http://calenda.org/387899,108,59.0,64.0
http://calenda.org/399029,108,50.0,59.0
http://calenda.org/400168,108,44.0,44.0
http://calenda.org/388097,107,56.0,57.0
http://calenda.org/389271,107,59.0,62.0
http://calenda.org/396255,107,41.0,42.0
http://calenda.org/389819,106,76.0,81.0
http://calenda.org/390656,106,43.0,59.0
http://calenda.org/396284,106,51.0,55.0
http://calenda.org/401089,105,54.0,71.0
http://calenda.org/401343,105,67.0,71.0
http://calenda.org/400245,104,61.0,64.0
http://calenda.org/401028,104,53.0,51.0
http://calenda.org/384195,103,52.0,60.0
http://calenda.org/390341,103,37.0,53.0
http://calenda.org/390734,103,50.0,56.0
http://calenda.org/401589,103,66.0,70.0
http://calenda.org/392974,102,65.0,69.0
http://calenda.org/394900,102,40.0,48.0
http://calenda.org/401488,102,45.0,52.0
http://calenda.org/393911,101,49.0,50.0
http://calenda.org/396883,101,59.0,62.0
http://calenda.org/302797,100,100.0,100.0
http://calenda.org/353359,100,99.0,100.0
http://calenda.org/388436,100,54.0,58.0
http://calenda.org/393014,100,55.0,58.0
http://calenda.org/400807,100,50.0,46.0
http://calenda.org/401625,100,63.0,61.0
http://calenda.org/311324,99,83.0,76.0
http://calenda.org/401422,99,22.0,35.0
http://calenda.org/387755,98,17.0,30.0
http://calenda.org/394570,98,70.0,72.0
http://calenda.org/399800,98,67.0,69.0
http://calenda.org/399824,98,27.0,42.0
http://calenda.org/387886,97,72.0,73.0
http://calenda.org/391986,97,45.0,44.0
http://calenda.org/376997,96,48.0,55.0
http://calenda.org/395180,96,60.0,60.0
http://calenda.org/349760,95,95.0,90.0
http://calenda.org/388401,95,24.0,32.0
http://calenda.org/389054,95,64.0,60.0
http://calenda.org/389479,95,47.0,43.0
http://calenda.org/390614,95,54.0,49.0
http://calenda.org/390971,95,28.0,36.0
http://calenda.org/395653,95,48.0,52.0
http://calenda.org/396200,95,48.0,49.0
http://calenda.org/396204,95,56.0,60.0
http://calenda.org/397741,95,67.0,59.0
http://calenda.org/398476,95,51.0,61.0
